pd        	ADNI_062_S_1091_MR_MPRAGE_br_raw_20061128145742768_98_S23031_I30717.nii.gzConfidences: 90.55,  7.77,  1.68
pd        	ADNI_002_S_2010_MR_MPRAGE_br_raw_20110708102746110_70_S114024_I243872.nii.gzConfidences: 61.82, 20.91, 17.28
pd        	ADNI_053_S_0507_MR_MPRAGE_br_raw_20061211202323634_86_S23808_I32606.nii.gzConfidences: 61.31, 38.51,  0.19
t2        	ADNI_052_S_4945_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130710113418157_4_S194390_I379682.nii.gzConfidences: 27.38, 25.63, 46.99
pd        	ADNI_137_S_4852_MR_MPRAGE_br_raw_20121023141635018_81_S171777_I341760.nii.gzConfidences: 69.83, 25.94,  4.22
pd        	ADNI_016_S_0769_MR_MPRAGE_br_raw_20070821133053748_98_S37941_I69413.nii.gzConfidences: 88.83,  9.46,  1.71
t2        	ADNI_137_S_0443_MR_Axial_PD_T2_FSE__br_raw_20090813113056083_103_S72310_I152998.nii.gzConfidences: 18.26,  3.62, 78.12
t2        	ADNI_037_S_0552_MR_FSE_PD_T2__br_raw_20110617163409675_49_S112013_I240843.nii.gzConfidences: 31.31,  9.98, 58.72
t2        	ADNI_052_S_0671_MR_Axial_PD_T2_FSE__br_raw_20110627165942859_35_S112714_I241988.nii.gzConfidences: 20.28, 17.66, 62.06
pd        	ADNI_072_S_2116_MR_MPRAGE_br_raw_20111118120810002_27_S130134_I267566.nii.gzConfidences: 79.86, 19.61,  0.53
pd        	ADNI_123_S_2363_MR_MPRAGE_br_raw_20130528115831686_12_S190558_I373936.nii.gzConfidences: 78.25, 12.11,  9.65
t2        	ADNI_027_S_4926_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20141025161337195_30_S234677_I449522.nii.gzConfidences: 29.95, 28.89, 41.17
t2        	ADNI_094_S_1027_MR_Axial__STRAIGHT__PD_T2_FSE_br_raw_20070515142121580_1_S32271_I54465.nii.gzConfidences: 40.38,  5.80, 53.81
t2        	ADNI_126_S_0606_MR_Axial_PD_T2_FSE_-_48_slices__br_raw_20070802094903402_95_S36747_I63906.nii.gzConfidences: 16.87,  7.78, 75.35
pd        	ADNI_123_S_2363_MR_MPRAGE_br_raw_20110422154315603_52_S104979_I228730.nii.gzConfidences: 74.87,  6.85, 18.28
pd        	ADNI_020_S_4920_MR_MPRAGE_br_raw_20121221094956230_109_S178485_I352681.nii.gzConfidences: 71.59, 25.33,  3.08
pd        	ADNI_072_S_4226_MR_MPRAGE_br_raw_20120420103505967_162_S147944_I299100.nii.gzConfidences: 68.90, 24.40,  6.70
pd        	ADNI_072_S_2027_MR_MPRAGE_br_raw_20101025134848873_144_S93541_I198277.nii.gzConfidences: 67.38, 28.33,  4.29
t2        	ADNI_137_S_0669_MR_Axial_PD_T2_FSE__br_raw_20080219084409680_5_S45816_I90704.nii.gzConfidences: 26.81,  6.91, 66.27
pd        	ADNI_067_S_4310_MR_MPRAGE_br_raw_20120201131904361_88_S139237_I282026.nii.gzConfidences: 71.80, 27.20,  1.00
t2        	ADNI_130_S_0449_MR_Axial_PD_T2_FSE__br_raw_20080206092826173_7_S45346_I89443.nii.gzConfidences: 24.91,  9.67, 65.43
t2        	ADNI_130_S_0449_MR_Axial_PD_T2_FSE__br_raw_20070227175058415_3_S27199_I41757.nii.gzConfidences: 27.48, 13.35, 59.17
t1        	ADNI_016_S_4591_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20130402160342189_35_S185714_I365192.nii.gzConfidences: 21.78, 50.37, 27.85
t2        	ADNI_116_S_1249_MR_FSE_PD_T2__br_raw_20070208112343796_1_S26085_I38469.nii.gzConfidences: 17.05, 14.87, 68.08
pd        	ADNI_116_S_4199_MR_MPRAGE_br_raw_20120321143647718_138_S144453_I291540.nii.gzConfidences: 77.03, 20.62,  2.34
t2        	ADNI_136_S_1227_MR_Axial_PD_T2_FSE__br_raw_20100323144533949_17_S81554_I168512.nii.gzConfidences: 26.42, 15.28, 58.29
t2        	ADNI_052_S_0989_MR_Axial_PD_T2_FSE__br_raw_20111220131409296_89_S131964_I270169.nii.gzConfidences: 28.42, 11.86, 59.72
pd        	ADNI_073_S_4216_MR_MPRAGE_br_raw_20131023111320076_36_S204742_I395745.nii.gzConfidences: 85.66, 12.41,  1.93
pd        	ADNI_068_S_2187_MR_MPRAGE_br_raw_20121214120746696_101_S177672_I351554.nii.gzConfidences: 61.36, 23.78, 14.86
t2        	ADNI_033_S_0513_MR_Axial_PD_T2_FSE__br_raw_20061208111655496_1_S23653_I32260.nii.gzConfidences: 22.21,  2.98, 74.82
pd        	ADNI_099_S_0534_MR_MPRAGE_br_raw_20061130083633171_98_S23143_I30899.nii.gzConfidences: 75.40,  4.80, 19.80
pd        	ADNI_020_S_0213_MR_MPRAGE_br_raw_20061122205152078_98_S22879_I30440.nii.gzConfidences: 89.99,  6.28,  3.74
pd        	ADNI_067_S_4184_MR_MPRAGE_br_raw_20111219110341534_32_S133710_I272923.nii.gzConfidences: 51.77, 38.20, 10.03
pd        	ADNI_067_S_4072_MR_MPRAGE_br_raw_20110706163415122_119_S113733_I243482.nii.gzConfidences: 65.78, 24.85,  9.37
pd        	ADNI_031_S_4029_MR_MPRAGE_br_raw_20120518144104434_51_S151023_I305272.nii.gzConfidences: 51.58, 19.41, 29.01
pd        	ADNI_031_S_4029_MR_MPRAGE_br_raw_20110808152211332_52_S117872_I249331.nii.gzConfidences: 55.59, 17.22, 27.19
t2        	ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20070327213909483_3_S29026_I47262.nii.gzConfidences: 38.60,  6.32, 55.08
pd        	ADNI_031_S_4042_MR_MPRAGE_br_raw_20130221141013704_141_S182868_I360940.nii.gzConfidences: 75.93, 10.03, 14.04
pd        	ADNI_037_S_4706_MR_MPRAGE_br_raw_20120802132206433_15_S159312_I321148.nii.gzConfidences: 72.42, 15.13, 12.45
pd        	ADNI_137_S_4852_MR_MPRAGE_br_raw_20130321074157028_89_S184829_I363856.nii.gzConfidences: 65.95, 33.55,  0.50
t2        	ADNI_137_S_0443_MR_Axial_PD_T2_FSE__br_raw_20060615131558245_1_S15549_I17031.nii.gzConfidences: 19.31,  3.66, 77.03
t2        	ADNI_052_S_0671_MR_Axial_PD_T2_FSE__br_raw_20060705094318968_1_S16060_I17847.nii.gzConfidences: 22.15, 11.54, 66.31
t2        	ADNI_094_S_1027_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20071120103514436_1_S42879_I82829.nii.gzConfidences: 40.27,  4.47, 55.26
pd        	ADNI_033_S_0733_MR_MPRAGE_br_raw_20060821115745455_98_S18048_I21947.nii.gzConfidences: 64.72, 34.21,  1.07
pd        	ADNI_041_S_4874_MR_MPRAGE_br_raw_20121106114830990_116_S173353_I344059.nii.gzConfidences: 60.70, 27.98, 11.32
pd        	ADNI_019_S_4680_MR_MPRAGE_br_raw_20130506153323367_138_S188697_I370446.nii.gzConfidences: 71.89, 18.54,  9.56
pd        	ADNI_022_S_2263_MR_MPRAGE_br_raw_20130301172303749_146_S183544_I361823.nii.gzConfidences: 74.91, 23.46,  1.63
t2        	ADNI_021_S_0332_MR_Axial_PD_T2_FSE__br_20060404150235509_1_S12754_I12860.nii.gzConfidences: 31.05,  6.42, 62.53
pd        	ADNI_016_S_0769_MR_MPRAGE_br_raw_20060906101723494_98_S18541_I23823.nii.gzConfidences: 80.07, 19.73,  0.20
pd        	ADNI_020_S_4920_MR_MPRAGE_br_raw_20130425103701009_170_S187959_I368737.nii.gzConfidences: 71.10, 19.66,  9.25
pd        	ADNI_003_S_1057_MR_MPRAGE_br_raw_20071024103335026_97_S41854_I78403.nii.gzConfidences: 72.77, 18.90,  8.33
pd        	ADNI_067_S_2304_MR_MPRAGE_br_raw_20110224103419715_155_S100454_I219904.nii.gzConfidences: 65.50, 26.45,  8.04
pd        	ADNI_135_S_4954_MR_MPRAGE_br_raw_20131015120025431_117_S203852_I394452.nii.gzConfidences: 75.33, 21.41,  3.26
pd        	ADNI_041_S_0679_MR_MPRAGE_br_raw_20070209155420484_98_S26256_I39044.nii.gzConfidences: 84.00,  3.91, 12.09
t2        	ADNI_027_S_0485_MR_Axial_PD_T2_FSE__br_raw_20060510163043287_1_S14206_I14926.nii.gzConfidences: 23.47,  7.61, 68.92
t2        	ADNI_033_S_1309_MR_Axial_PD_T2_FSE__br_raw_20080228143543349_1_S46325_I93572.nii.gzConfidences: 28.54,  5.90, 65.57
pd        	ADNI_067_S_4184_MR_MPRAGE_br_raw_20130912155721867_109_S200569_I389787.nii.gzConfidences: 50.56, 38.32, 11.13
t2        	ADNI_037_S_0552_MR_FSE_PD_T2__br_raw_20080618091857225_1_S51790_I110027.nii.gzConfidences: 19.26,  5.38, 75.36
t2        	ADNI_137_S_0366_MR_Axial_PD_T2_FSE__br_raw_20070626090514281_65_S33825_I57390.nii.gzConfidences: 22.75,  9.75, 67.50
pd        	ADNI_018_S_5240_MR_MPRAGE_br_raw_20130723160412209_118_S196225_I382181.nii.gzConfidences: 60.05, 13.60, 26.35
pd        	ADNI_013_S_2324_MR_MPRAGE_br_raw_20110628170516462_158_S112893_I242257.nii.gzConfidences: 70.32, 13.59, 16.09
t2        	ADNI_006_S_0484_MR_Axial_PD_T2_FSE__br_raw_20060622091006656_95_S15772_I17375.nii.gzConfidences: 30.31,  8.58, 61.12
pd        	ADNI_072_S_4063_MR_MPRAGE_br_raw_20130626085754672_22_S193406_I378188.nii.gzConfidences: 70.78, 23.84,  5.38
t2        	ADNI_037_S_0552_MR_FSE_PD_T2__br_raw_20070103121005010_1_S24609_I35114.nii.gzConfidences: 23.75, 13.37, 62.87
pd        	ADNI_099_S_0534_MR_MPRAGE_br_raw_20070523132442339_98_S32564_I55083.nii.gzConfidences: 73.02, 13.64, 13.34
t2        	ADNI_033_S_0922_MR_Axial_PD_T2_FSE__br_raw_20060926174640754_1_S19339_I25090.nii.gzConfidences: 24.86,  9.03, 66.12
t2        	ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20100115170247348_1_S78650_I164045.nii.gzConfidences: 35.46,  6.15, 58.39
t2        	ADNI_094_S_1417_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20080205164656907_1_S45331_I89383.nii.gzConfidences: 26.09,  4.49, 69.42
t2        	ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20071011131600343_15_S41273_I77458.nii.gzConfidences: 30.47,  6.04, 63.50
pd        	ADNI_020_S_0213_MR_MPRAGE_br_raw_20070606134030953_18_S33112_I56144.nii.gzConfidences: 87.51,  7.28,  5.21
pd        	ADNI_012_S_4094_MR_MPRAGE_br_raw_20150827185930831_96_S270246_I507161.nii.gzConfidences: 51.48, 39.10,  9.41
pd        	ADNI_031_S_4024_MR_MPRAGE_br_raw_20110425135648715_88_S105088_I228879.nii.gzConfidences: 52.01, 33.15, 14.85
t2        	ADNI_136_S_0107_MR_Axial_PD_T2_FSE__br_raw_20080225144642672_1_S46155_I92492.nii.gzConfidences: 27.32, 14.93, 57.76
pd        	ADNI_036_S_2378_MR_MPRAGE_br_raw_20130722082001249_168_S195929_I381814.nii.gzConfidences: 62.40, 35.36,  2.24
t2        	ADNI_126_S_0606_MR_Axial_PD_T2_FSE_-_48_slices__br_raw_20070131041348510_1_S25768_I37864.nii.gzConfidences: 19.85,  9.62, 70.53
pd        	ADNI_012_S_4094_MR_MPRAGE_br_raw_20111010130404859_148_S124904_I260301.nii.gzConfidences: 49.78, 37.77, 12.45
pd        	ADNI_032_S_5289_MR_MPRAGE_br_raw_20151116124758153_61_S308770_I554273.nii.gzConfidences: 74.14, 19.43,  6.43
pd        	ADNI_023_S_4502_MR_MPRAGE_br_raw_20130328145650090_58_S185406_I364733.nii.gzConfidences: 70.72, 22.72,  6.56
pd        	ADNI_036_S_2378_MR_MPRAGE_br_raw_20120627105833534_65_S155642_I312949.nii.gzConfidences: 68.80, 16.23, 14.97
pd        	ADNI_123_S_4806_MR_MPRAGE_br_raw_20120622140227509_72_S154998_I311954.nii.gzConfidences: 74.93, 23.51,  1.55
t2        	ADNI_052_S_4944_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130710134721987_41_S194409_I379714.nii.gzConfidences: 29.83, 27.08, 43.09
t2        	ADNI_131_S_0691_MR_Axial_PD_T2_FSE__br_raw_20060816165956271_1_S17945_I20679.nii.gzConfidences: 28.84,  5.75, 65.41
t2        	ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20070705105734586_1_S34404_I58522.nii.gzConfidences: 17.64,  2.89, 79.47
pd        	ADNI_031_S_2233_MR_MPRAGE_br_raw_20130110130941998_126_S179865_I354599.nii.gzConfidences: 71.20, 14.97, 13.83
t2        	ADNI_127_S_1427_MR_Axial_PD_T2_FSE__br_raw_20080905102023852_1_S56225_I117509.nii.gzConfidences: 33.83, 12.20, 53.97
t2        	ADNI_130_S_0285_MR_Axial_PD_T2_FSE__br_raw_20110406144847026_43_S103392_I226490.nii.gzConfidences: 37.66,  2.45, 59.88
pd        	ADNI_013_S_4268_MR_MPRAGE_br_raw_20120130155232051_9_S138911_I281507.nii.gzConfidences: 66.42, 14.75, 18.83
pd        	ADNI_116_S_4195_MR_MPRAGE_br_raw_20120321142746129_154_S144427_I291506.nii.gzConfidences: 75.16, 22.01,  2.83
t2        	ADNI_029_S_1184_MR_Axial_PD_T2_FSE__br_raw_20070124102148067_1_S25462_I37349.nii.gzConfidences: 28.91, 11.98, 59.11
pd        	ADNI_011_S_4235_MR_MPRAGE_br_raw_20110926120955539_147_S123401_I258013.nii.gzConfidences: 88.23,  9.41,  2.36
pd        	ADNI_072_S_2093_MR_MPRAGE_br_raw_20150506122317073_76_S257717_I489730.nii.gzConfidences: 69.42, 26.22,  4.35
t2        	ADNI_027_S_4966_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130425130202748_24_S187983_I368770.nii.gzConfidences: 33.92, 15.68, 50.40
t2        	ADNI_136_S_0874_MR_Axial_PD_T2_FSE__br_raw_20070605152015052_1_S33046_I55986.nii.gzConfidences: 23.59, 10.78, 65.63
pd        	ADNI_128_S_4599_MR_MPRAGE_br_raw_20120629094446886_148_S155992_I313456.nii.gzConfidences: 70.71, 18.61, 10.68
t2        	ADNI_098_S_0172_MR_Axial_PD_T2_FSE__br_raw_20060227125250734_1_S11816_I11402.nii.gzConfidences: 23.43,  5.20, 71.37
pd        	ADNI_022_S_2263_MR_MPRAGE_br_raw_20120306114443796_41_S142751_I288249.nii.gzConfidences: 78.11, 21.57,  0.32
t2        	ADNI_031_S_0351_MR_FSE_PD_T2__br_raw_20071112153256360_1_S42553_I81689.nii.gzConfidences: 21.31,  7.50, 71.20
pd        	ADNI_072_S_4465_MR_MPRAGE_br_raw_20120820144900330_171_S161681_I324980.nii.gzConfidences: 66.62, 23.96,  9.42
t2        	ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20080116154812103_1_S44641_I87698.nii.gzConfidences: 20.88,  8.41, 70.70
pd        	ADNI_023_S_4502_MR_MPRAGE_br_raw_20121026125748053_39_S172393_I342722.nii.gzConfidences: 75.62, 21.50,  2.89
t2        	ADNI_029_S_4385_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20130307162131526_13_S183926_I362371.nii.gzConfidences: 32.25, 30.57, 37.18
pd        	ADNI_033_S_0733_MR_MPRAGE_br_raw_20080808152409133_98_S55160_I115774.nii.gzConfidences: 79.29, 20.09,  0.62
pd        	ADNI_072_S_4941_MR_MPRAGE_br_raw_20150506163341734_148_S257854_I489889.nii.gzConfidences: 69.96, 25.19,  4.85
pd        	ADNI_011_S_0022_MR_MPRAGE_br_raw_20051012135455195_1_S9616_I7721.nii.gzConfidences: 85.17,  3.60, 11.23
t2        	ADNI_133_S_0913_MR_Axial_PD_T2_FSE__br_raw_20080731085646828_1_S54542_I114932.nii.gzConfidences: 20.36, 19.77, 59.87
pd        	ADNI_053_S_0507_MR_MPRAGE_br_raw_20071127134041734_86_S43020_I83429.nii.gzConfidences: 63.08, 36.83,  0.09
t1        	ADNI_099_S_2146_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20131104171031436_13_S205463_I396974.nii.gzConfidences: 38.31, 41.90, 19.79
t2        	ADNI_057_S_5199_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130531121315943_22_S191050_I374734.nii.gzConfidences: 29.62, 31.90, 38.48
pd        	ADNI_130_S_4468_MR_MPRAGE_br_raw_20130227154904600_128_S183304_I361490.nii.gzConfidences: 51.48, 25.25, 23.27
t2        	ADNI_053_S_0919_MR_Axial_PD_T2_FSE__br_raw_20080603120709562_1_S50925_I108195.nii.gzConfidences: 29.74,  5.17, 65.09
t2        	ADNI_037_S_0588_MR_FSE_PD_T2__br_raw_20150416101932564_7_S255798_I487091.nii.gzConfidences: 19.78,  9.79, 70.42
t2        	ADNI_033_S_1309_MR_Axial_PD_T2_FSE__br_raw_20070913163537047_1_S39275_I73185.nii.gzConfidences: 35.45,  7.93, 56.62
t2        	ADNI_027_S_0256_MR_Axial_PD_T2_FSE__br_raw_20061009142516384_23_S19865_I25971.nii.gzConfidences: 33.78,  2.08, 64.14
t2        	ADNI_128_S_0608_MR_FSE_PD_T2__br_raw_20060605134859638_1_S15210_I16501.nii.gzConfidences: 25.17,  5.15, 69.68
t2        	ADNI_137_S_0994_MR_Axial_PD_T2_FSE__br_raw_20080603150951287_1_S50931_I108204.nii.gzConfidences: 20.98, 16.45, 62.56
t2        	ADNI_033_S_0511_MR_Axial_PD_T2_FSE__br_raw_20071203103848805_1_S43228_I83963.nii.gzConfidences: 28.84,  4.49, 66.66
pd        	ADNI_036_S_0672_MR_MPRAGE_br_raw_20070801152501768_31_S36716_I63673.nii.gzConfidences: 69.94, 11.30, 18.76
t2        	ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20081010111445168_1_S57248_I120063.nii.gzConfidences: 28.56,  7.97, 63.48
t2        	ADNI_094_S_1417_MR_Axial_STRAIGHT_PD_T2_FSE_br_raw_20090219161140518_1_S63350_I136531.nii.gzConfidences: 28.71,  3.46, 67.82
t2        	ADNI_021_S_5194_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20150609154624416_38_S262434_I496373.nii.gzConfidences: 33.01, 32.22, 34.77
t2        	ADNI_127_S_5095_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130521135946834_43_S190199_I373393.nii.gzConfidences: 45.16,  8.08, 46.76
pd        	ADNI_072_S_4941_MR_MPRAGE_br_raw_20130108093221027_88_S179298_I353822.nii.gzConfidences: 79.47, 18.36,  2.17
t2        	ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20070905153805180_1_S38906_I71847.nii.gzConfidences: 29.92, 14.32, 55.77
t2        	ADNI_098_S_0269_MR_Axial_PD_T2_FSE__br_raw_20080407153320627_1_S48328_I101190.nii.gzConfidences: 34.40,  8.31, 57.29
t2        	ADNI_029_S_1073_MR_Axial_PD_T2_FSE__br_raw_20070625175105515_15_S34005_I57734.nii.gzConfidences: 17.86, 17.34, 64.79
pd        	ADNI_072_S_2093_MR_MPRAGE_br_raw_20101008113901264_124_S93143_I195820.nii.gzConfidences: 70.86,  9.03, 20.11
t1        	ADNI_003_S_5187_MR_Axial_T2-FSE_with_Fat_Sat__br_raw_20130916105348608_17_S200888_I390299.nii.gzConfidences: 41.01, 45.24, 13.75
pd        	ADNI_130_S_4982_MR_MPRAGE_br_raw_20130212213732338_114_S182070_I358858.nii.gzConfidences: 69.79, 25.13,  5.08
t2        	ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20100107182818082_1_S78069_I162748.nii.gzConfidences: 13.96, 12.01, 74.03
pd        	ADNI_023_S_1104_MR_MPRAGE_br_raw_20061205154154703_85_S23433_I31765.nii.gzConfidences: 77.45, 19.78,  2.77
pd        	ADNI_035_S_4256_MR_MPRAGE_br_raw_20130122140313546_31_S180633_I355745.nii.gzConfidences: 69.76, 24.14,  6.10
pd        	ADNI_128_S_4607_MR_MPRAGE_br_raw_20121115155928000_92_S174743_I346866.nii.gzConfidences: 66.03, 27.75,  6.22
t2        	ADNI_021_S_0753_MR_Axial_PD_T2_FSE__br_raw_20070913144053312_9_S39233_I72989.nii.gzConfidences: 22.38,  8.60, 69.02
pd        	ADNI_020_S_1288_MR_MPRAGE_br_raw_20090325131407718_1_S65063_I139834.nii.gzConfidences: 72.40,  6.65, 20.96
t2        	ADNI_027_S_1082_MR_Axial_PD_T2_FSE__br_raw_20070606150505653_1_S33127_I56167.nii.gzConfidences: 21.49, 13.61, 64.91
pd        	ADNI_067_S_5205_MR_MPRAGE_br_raw_20130910084332718_127_S200178_I389098.nii.gzConfidences: 78.96, 20.54,  0.50
pd        	ADNI_031_S_4024_MR_MPRAGE_br_raw_20110804161455996_19_S117504_I248872.nii.gzConfidences: 50.10, 30.53, 19.37
t2        	ADNI_130_S_0956_MR_Axial_PD_T2_FSE__br_raw_20070416160710725_1_S29746_I49214.nii.gzConfidences: 35.54,  0.50, 63.96
pd        	ADNI_002_S_2073_MR_MPRAGE_br_raw_20120206144016410_22_S123040_I257483.nii.gzConfidences: 75.77, 11.60, 12.63
pd        	ADNI_013_S_4268_MR_MPRAGE_br_raw_20111102113957291_58_S127831_I264420.nii.gzConfidences: 63.68, 15.43, 20.89
pd        	ADNI_128_S_2057_MR_MPRAGE_br_raw_20100903120516235_84_S91651_I192070.nii.gzConfidences: 75.34, 19.49,  5.17
t2        	ADNI_033_S_0906_MR_Axial_PD_T2_FSE__br_raw_20070427101834239_1_S30929_I51652.nii.gzConfidences: 27.80, 16.05, 56.15
pd        	ADNI_123_S_4127_MR_MPRAGE_br_raw_20120215152125698_5_S140907_I285019.nii.gzConfidences: 72.29, 20.18,  7.52
pd        	ADNI_037_S_4028_MR_MPRAGE_br_raw_20111121135742602_98_S130260_I267802.nii.gzConfidences: 74.15, 15.27, 10.58
t2        	ADNI_130_S_0460_MR_Axial_PD_T2_FSE__br_raw_20060519112753212_1_S14724_I15710.nii.gzConfidences: 15.83,  9.91, 74.26
t2        	ADNI_033_S_1279_MR_Axial_PD_T2_FSE__br_raw_20070219121545870_1_S26693_I40901.nii.gzConfidences: 25.72, 12.62, 61.66
t2        	ADNI_002_S_0729_MR_Axial_PD_T2_FSE__br_raw_20090813233640373_1_S72359_I153066.nii.gzConfidences: 22.84, 17.18, 59.98
pd        	ADNI_067_S_1185_MR_MPRAGE_br_raw_20070808152721319_97_S37043_I65946.nii.gzConfidences: 83.07, 16.70,  0.23
pd        	ADNI_128_S_4571_MR_MPRAGE_br_raw_20120627124413929_97_S155738_I313111.nii.gzConfidences: 73.69, 21.20,  5.11
t1        	ADNI_109_S_4455_MR_AXIAL_T2-FSE_WITH_FAT_SAT__br_raw_20130429153812622_18_S188289_I369240.nii.gzConfidences: 32.81, 36.99, 30.20
pd        	ADNI_019_S_5019_MR_MPRAGE_br_raw_20140221185900261_9_S213190_I415207.nii.gzConfidences: 72.71, 17.95,  9.34
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20091217105049466_101_S77265_I161032.nii.gzConfidences: 93.04,  5.68,  1.29
t2        	ADNI_136_S_0429_MR_Axial_PD_T2_FSE__br_raw_20060615104705751_103_S15533_I17003.nii.gzConfidences: 40.81,  4.59, 54.60
t2        	ADNI_033_S_0733_MR_Axial_PD_T2_FSE__br_raw_20060719102849296_1_S16931_I19137.nii.gzConfidences: 30.13, 10.73, 59.14
pd        	ADNI_035_S_2074_MR_MPRAGE_br_raw_20121210110616388_95_S176874_I350290.nii.gzConfidences: 66.84, 29.64,  3.52
t2        	ADNI_127_S_5132_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20140501132939234_32_S217547_I423226.nii.gzConfidences: 35.87, 19.02, 45.10
pd        	ADNI_003_S_0908_MR_MPRAGE_br_raw_20070424124024359_98_S30451_I50620.nii.gzConfidences: 85.53, 11.06,  3.41
t2        	ADNI_027_S_5118_MR_Ax_T2_FSE_with_Fat_Sat_br_raw_20130329163310388_39_S185511_I364904.nii.gzConfidences: 27.51, 32.03, 40.46
t2        	ADNI_003_S_4441_MR_Axial_T2-FSE_WITH_Fat_Sat__br_raw_20130416165547862_12_S187152_I367513.nii.gzConfidences: 28.49, 29.59, 41.92
pd        	ADNI_072_S_4226_MR_MPRAGE_br_raw_20111209125706200_10_S132304_I270727.nii.gzConfidences: 67.37, 23.61,  9.02
pd        	ADNI_130_S_4817_MR_MPRAGE_br_raw_20121016105321611_1_S170920_I340207.nii.gzConfidences: 76.76,  7.64, 15.60
pd        	ADNI_011_S_2274_MR_MPRAGE_br_raw_20110505140341975_54_S108102_I233439.nii.gzConfidences: 83.42, 13.24,  3.34
pd        	ADNI_041_S_4874_MR_MPRAGE_br_raw_20130306163444190_89_S183787_I362185.nii.gzConfidences: 64.58, 23.23, 12.19
t1        	ADNI_016_S_4591_MR_Axial_T2-FSE_with_FAT_SAT__br_raw_20140416104957446_19_S216285_I420234.nii.gzConfidences: 18.47, 71.35, 10.18
pd        	ADNI_053_S_0507_MR_MPRAGE_br_raw_20071127133956046_86_S43019_I83428.nii.gzConfidences: 60.29, 39.63,  0.08
pd        	ADNI_072_S_2093_MR_MPRAGE_br_raw_20121011134038614_156_S170472_I339529.nii.gzConfidences: 75.16, 18.70,  6.14
pd        	ADNI_024_S_4169_MR_MPRAGE_br_raw_20110815120602493_165_S118604_I250377.nii.gzConfidences: 72.42,  7.08, 20.50
pd        	ADNI_016_S_1121_MR_MPRAGE_br_raw_20080723113952608_98_S53958_I114056.nii.gzConfidences: 85.41, 14.33,  0.26
pd        	ADNI_128_S_2003_MR_MPRAGE_br_raw_20100707221529337_96_S88768_I181153.nii.gzConfidences: 74.86, 22.30,  2.84
pd        	ADNI_024_S_4169_MR_MPRAGE_br_raw_20111201135227017_74_S131516_I269482.nii.gzConfidences: 76.75, 15.60,  7.66
t2        	ADNI_007_S_0128_MR_Axial_PD_T2_FSE__br_raw_20080207163428539_67_S45450_I89866.nii.gzConfidences: 30.29,  9.97, 59.74
t2        	ADNI_002_S_1155_MR_Axial_PD_T2_FSE__br_raw_20070621144102363_77_S33919_I57546.nii.gzConfidences: 22.16,  6.16, 71.68
t2        	ADNI_053_S_0507_MR_Axial_PD_T2_FSE__br_raw_20080612100408765_1_S51483_I109315.nii.gzConfidences: 36.30,  5.99, 57.71
pd        	ADNI_123_S_2363_MR_MPRAGE_br_raw_20120522172804393_105_S149062_I301642.nii.gzConfidences: 72.01,  9.71, 18.29
t2        	ADNI_130_S_0289_MR_Axial_PD_T2_FSE__br_raw_20060928134907462_1_S19470_I25302.nii.gzConfidences: 31.12,  8.00, 60.88
t2        	ADNI_031_S_0351_MR_FSE_PD_T2__br_raw_20061103105449250_99_S21907_I28620.nii.gzConfidences: 18.20,  7.40, 74.40
t2        	ADNI_021_S_0753_MR_Axial_PD_T2_FSE__br_20060804134836684_79_S17578_I20166.nii.gzConfidences: 19.10, 10.36, 70.54
t2        	ADNI_116_S_0834_MR_FSE_PD_T2__br_raw_20070427133340921_1_S31021_I51803.nii.gzConfidences: 19.11,  6.86, 74.03
t2        	ADNI_130_S_0969_MR_Axial_PD_T2_FSE__br_raw_20070507161535051_1_S31838_I53681.nii.gzConfidences: 38.97,  6.75, 54.28
t2        	ADNI_133_S_0727_MR_Axial_PD_T2_FSE__br_raw_20080312151859200_1_S46931_I96968.nii.gzConfidences: 33.95,  7.93, 58.13
pd        	ADNI_037_S_4381_MR_MPRAGE_br_raw_20120420133350166_22_S147993_I299165.nii.gzConfidences: 84.65, 12.08,  3.27
